Linux 3.0.101-0.15-default (axle) 	11/19/2014 	_x86_64_

11:40:52 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:41:52 AM     all     70.44      0.00     19.85      0.02      0.00      9.70
11:42:52 AM     all     74.81      0.00     19.38      0.00      0.00      5.81
11:43:52 AM     all     72.30      0.00     21.77      0.00      0.00      5.92
11:44:52 AM     all     75.76      0.00     21.58      0.00      0.00      2.67
11:45:52 AM     all     72.38      0.00     24.00      0.00      0.00      3.62
11:46:52 AM     all     75.05      0.00     22.43      0.00      0.00      2.52
11:47:52 AM     all     75.13      0.00     22.88      0.00      0.00      1.99
11:48:52 AM     all     76.90      0.00     19.56      0.00      0.00      3.54
11:49:52 AM     all     72.11      0.00     21.43      0.00      0.00      6.46
11:50:52 AM     all     27.15      0.00      8.47      0.00      0.00     64.38
11:51:52 AM     all      7.18      0.00      2.88      0.00      0.00     89.94
11:52:52 AM     all      5.34      0.00      1.35      0.00      0.00     93.30
11:53:52 AM     all      5.59      0.00      2.01      0.00      0.00     92.40
