# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416393712;0.13;385.10;902021.40;0.00;61657.65;0.00;0.00;0.00;0.00
axle;60;1416393772;0.00;391.65;800584.71;0.00;45653.30;0.00;0.00;0.00;0.00
axle;60;1416393832;0.00;500.79;951063.91;0.00;75199.35;0.00;0.00;0.00;0.00
axle;60;1416393892;0.00;412.27;860499.37;0.00;80582.15;0.00;0.00;0.00;0.00
axle;60;1416393952;0.20;409.22;855799.90;0.00;71389.54;0.00;0.00;0.00;0.00
axle;60;1416394012;0.00;445.47;797793.51;0.00;53126.82;0.00;0.00;0.00;0.00
axle;60;1416394072;0.00;485.06;1024677.52;0.00;81538.93;0.00;0.00;0.00;0.00
axle;60;1416394132;0.00;316.26;709234.08;0.00;53777.43;0.00;0.00;0.00;0.00
axle;60;1416394192;0.00;479.83;885280.97;0.00;63459.10;0.00;0.00;0.00;0.00
axle;60;1416394252;0.00;291.12;352713.99;0.00;45163.59;0.00;0.00;0.00;0.00
axle;60;1416394312;0.00;75.62;82045.90;0.00;6933.61;0.00;0.00;0.00;0.00
axle;60;1416394372;0.00;29.49;42771.40;0.00;4961.41;0.00;0.00;0.00;0.00
axle;60;1416394432;0.00;39.17;41469.39;0.00;5375.01;0.00;0.00;0.00;0.00
