# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416393053;20424748;244099676;92.28;135812;40755484;207844204;76.16
axle;60;1416393113;19995952;244528472;92.44;135876;40770620;208158528;76.27
axle;60;1416393173;17074200;247450224;93.55;135980;42734732;209095744;76.62
axle;60;1416393233;18206304;246318120;93.12;136056;43090180;207711484;76.11
axle;60;1416393293;18161104;246363320;93.13;136148;43104740;207633668;76.08
axle;60;1416393353;16203388;248321036;93.87;136248;45227820;207478828;76.02
axle;60;1416393413;16191432;248332992;93.88;136308;45229136;207478828;76.02
axle;60;1416393473;13872188;250652236;94.76;136412;47541140;207489156;76.03
axle;60;1416393533;13883868;250640556;94.75;136476;47542152;207477620;76.02
