Linux 3.0.101-0.15-default (axle) 	11/19/2014 	_x86_64_

11:29:53 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:30:53 AM     all      5.47      0.00      7.81      0.06      0.00     86.65
11:31:53 AM     all      6.43      0.00      6.64      0.01      0.00     86.93
11:32:53 AM     all      6.52      0.00      6.39      0.00      0.00     87.08
11:33:53 AM     all      6.59      0.00      6.50      0.01      0.00     86.91
11:34:53 AM     all      6.07      0.00      2.11      0.01      0.00     91.82
11:35:53 AM     all      4.22      0.00      2.21      0.00      0.00     93.57
11:36:53 AM     all      5.90      0.00      0.37      0.00      0.00     93.73
11:37:53 AM     all      4.23      0.00      2.14      0.00      0.00     93.62
11:38:53 AM     all      4.77      0.00      1.59      0.00      0.00     93.65
